Location,Beds,Baths,Title,Added_Date,Price_thnds,Area_sqft
"DHA Phase 1, DHA Defence",5,6,2 KANAL OWNER BUILD SPANISH BUNGALOW FOR SALE PHASE 1,Added: 1 hour ago,160000000.0,10890.0
"Lake City Meadows, Lahore",3,4,Brand New Modern House With Gas,Added: 3 hours ago,22500000.0,1361.25
,,,,,28800000.0,
"FCC, Gulberg 4",4,5,Syed Maratab Ali Road 1 Kanal Double Storey House,Added: 6 hours ago,140000000.0,5445.0
"Eden Boulevard Housing Scheme, College Road",4,5,4.5 MARLA FACING PARK DOUBLE STORY HOUSE FOR SALE IN EDEN BOULEVARD COLLEGE ROAD LAHORE,Added: 8 hours ago,16500000.0,1089.0
,,,,,12000000.0,
"Military Accounts Housing Society, Lahore",4,5,4 MARLA SLIGHTLY USED HOUSE DOUBLE STORY FOR SALE MILITARY ACCOUNT SOCIETY COLLEGE ROAD LAHORE,Added: 9 hours ago,15500000.0,1089.0
"Al-Ahmad Garden Housing Scheme, GT Road",,,"Reasonably-Priced Prime Location 800 Square Feet House In Al-Ahmad Garden Housing Scheme, Lahore Is Available As Of Now",Added: 22 minutes ago,12500000.0,980.1
"Al-Ahmad Garden Housing Scheme, GT Road",,,On Excellent Location House Of 4 Marla Is Available For sale,Added: 22 minutes ago,16500000.0,1089.0
"DHA Phase 8, DHA Defence",6,6,1 Kanal Brand New House for sale,Added: 30 minutes ago,130000000.0,5445.0
"Samanabad, Lahore",9,6,Prominently-Located Prime Location 11 Marla House Available In Samanabad,Added: 3 hours ago,68000000.0,2994.75
"Bahria Town - Sector B, Bahria Town",2,2,5 Marla Single Storey House Available For Sale In Safari Villas Bahria Town Lahore,Added: 4 hours ago,13200000.0,1361.25
"Bankers Avenue - Block G, Bankers Avenue Cooperative Housing Society",4,5,5 Marla Brand New House For Sale In G Block Of Bankers Avenue,Added: 14 minutes ago,19000000.0,1361.25
"Bedian Road, Lahore",2,3,24 MARLA BRAND NEW FARM HOUSE WITH SWIMMING POOL SOLAR INSTALLED,Added: 14 minutes ago,19000000.0,6534.0
"Al-Ahmad Garden Housing Scheme, GT Road",,,Prime Location Al-Ahmad Garden Housing Scheme 1125 Square Feet House Up For Sale,Added: 21 minutes ago,16800000.0,1361.25
"Lalazaar Garden, Lahore",5,5,Corner 1013 Square Feet House For Sale In Beautiful Lalazaar Garden,Added: 24 minutes ago,18000000.0,1225.125
"DHA Phase 8 - Block X, DHA Phase 8",7,6,1 Kanal Brand New House For Sale,Added: 30 minutes ago,159000000.0,5445.0
"Central Park Housing Scheme, Lahore",5,5,"Brand New 10 Marla House on 80 Feet Road for Sale in Central Park Housing Scheme, Lahore",Added: 35 minutes ago,35000000.0,2722.5
"Central Park Housing Scheme, Lahore",5,6,"10 Marla Brand New Modern Elevation House with 3 Car Parking Near Park, Mosque, LGS School, Hospital for Sale in Central Park Housing Scheme Lahore",Added: 36 minutes ago,37000000.0,2722.5
"PCSIR Staff Colony - Block D, PCSIR Staff Colony",9,7,1 Kanal House Triple Storey Facing Park For Sale In Pcsir Staff Colony,Added: 15 minutes ago,56000000.0,4356.0
"Lahore Motorway City, Lahore",2,2,5 Marla House Available For Sale In Lahore Motorway City Near Kot Abdul Malik,Added: 15 minutes ago,6270000.0,1361.25
"Model Town, Lahore",8,6,1 Kanal 14 Marla Old House For Sale 3 Side Open In Model Town,Added: 15 minutes ago,155000000.0,9256.5
